recebido_em	evento_em	evento	usuario	uid	maquina	indice	item_key	tipo	protheus	cooperat	armazem	endereco	descricao	valor	status	client_ping_id	origem
2026-07-21T08:44:13.108573+00:00	2026-07-21T08:44:13.219000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER		3111002032||4||PENT/A/CX01||0	quantidade	3111002032	52627	04	PENT/A/CX01	PER-31050.011-1026-4941 VARA DE PRESSAO 12X8X292,	4		1784623453219_9n8l33te4	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:46:05.776853+00:00	2026-07-21T08:46:06.036000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	1	3111001984||4||PENT/A/CX02||0	quantidade	3111001984	52634	04	PENT/A/CX02	PER-31080.002-1004-0581 RASCADOR TREM DE ESTIRAGE	57		1784623566036_xt56hxx4egi	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:46:15.589391+00:00	2026-07-21T08:46:15.854000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	7	3111001882||4||PENT/A/CX08||0	quantidade	3111001882	119274	04	PENT/A/CX08	PER-24060.040-1098-4267 GUIA DE TRAMA 301	6		1784623575854_2n7ws9yfmci	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:46:39.529079+00:00	2026-07-21T08:46:39.799000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	9	3101001503||4||PENT/A/CX10||0	quantidade	3101001503	52795	04	PENT/A/CX10	PER-24515.016-0472-0093 LIMPADORES COMPLETO	15		1784623599799_0ps2825eygm	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:46:44.032116+00:00	2026-07-21T08:46:44.290000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	10	3111001893||4||PENT/A/CX11||0	quantidade	3111001893	50555	04	PENT/A/CX11	PER-0013.059-0470-5435 LIMAPADOR LAMINA DE ACO	7		1784623604290_y2tsyloba3a	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:46:51.349756+00:00	2026-07-21T08:46:51.563000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	11	3111001894||4||PENT/A/CX12||0	quantidade	3111001894	30915	04	PENT/A/CX12	PER-0013.085-0474-6630 LIMPADOR NEGRO	8		1784623611563_mi9pv4afxo	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:48:58.233750+00:00	2026-07-21T08:48:58.455000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	12	3111002003||4||PENT/A/CX13||0	quantidade	3111002003	52740	04	PENT/A/CX13	PER-24060.033-0474-4710 SAPATA	54		1784623738455_kg79uyvigs	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:52:03.341643+00:00	2026-07-21T08:52:03.490000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	13	3111001973||4||PENT/A/CX14||0	quantidade	3111001973	52504	04	PENT/A/CX14	PER-0008.071-1112-9630 PORCA DE GUIA	394		1784623923490_ty738q36nf9	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:52:41.484087+00:00	2026-07-21T08:52:41.585000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	14	3111001892||4||PENT/A/CX15||0	quantidade	3111001892	92494	04	PENT/A/CX15	PER-24030.047-0477-2756/1107-1435 LAMINA DE COMUT	25		1784623961585_xz224gkaaib	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:53:35.847756+00:00	2026-07-21T08:53:36.088000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	15	3111001891||4||PENT/A/CX16||0	quantidade	3111001891	92487	04	PENT/A/CX16	PER-24030.033-0477-2757/1107-4233 LAMINA DE COMUT	35		1784624016088_xlzuwi49zx8	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:53:44.649226+00:00	2026-07-21T08:53:44.471000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	16	3111001864||4||PENT/A/CX17||0	quantidade	3111001864	64149	04	PENT/A/CX17	PER-32050.006-1048-8729 ESTICADOR DE CORRENTE 08B	6		1784624024471_85bmxjclgnr	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:54:20.248242+00:00	2026-07-21T08:54:20.508000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	17	3111001746||4||PENT/A/CX18||0	quantidade	3111001746	94825	04	PENT/A/CX18	PER-24050.003-1085.3750 ALCA DA MOLA	21		1784624060508_5rddftl5c1f	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:58:04.622826+00:00	2026-07-21T08:58:04.877000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	18	3111001966||4||PENT/A/CX19||0	quantidade	3111001966	52733	04	PENT/A/CX19	PER-24050.005-1023-7394 PLACA DE FIXACAO COMPLETO	191		1784624284877_ttgy62byvlq	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:58:22.298015+00:00	2026-07-21T08:58:22.585000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	19	3111001944||4||PENT/A/CX20||0	quantidade	3111001944	145749	04	PENT/A/CX20	PER-150.011-1048-7863 PARAFUSO M20X90	6		1784624302585_76ctxvqp3cn	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:58:53.764130+00:00	2026-07-21T08:58:54.046000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	20	3111001872||4||PENT/A/CX21||0	quantidade	3111001872	63760	04	PENT/A/CX21	PER-0007.043-0474-7279 FUNIL D6,50	9		1784624334046_16zf1vg4nr5	https://passengers-routes-passage-verification.trycloudflare.com
2026-07-21T08:59:02.160849+00:00	2026-07-21T08:59:02.457000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	21	3101001035||4||PENT/A/CX22||0	quantidade	3101001035	64293	04	PENT/A/CX22	PER-32050.028-1041-4552 CORRENTE	2		1784624342458_jz6evkyju2	https://passengers-routes-passage-verification.trycloudflare.com
